'SIEU20K', 20000, 60000, 'Giảm giá 20k, ăn thỏa ga', '6/5/2022'
'SIEU20K', 20000, 60000, 'Giảm giá 20k, ăn thỏa ga', '17/9/2022'
'SIEU20K', 20000, 60000, 'Giảm giá 20k, ăn thỏa ga', '8/2/2022'
'SIEU50K', 50000, 150000, 'Giảm giá 50k, ăn thỏa ga', '13/2/2022'
'SIEU50K', 50000, 150000, 'Giảm giá 50k, ăn thỏa ga', '1/2/2022'
'SIEU50K', 50000, 150000, 'Giảm giá 50k, ăn thỏa ga', '8/11/2022'
'SIEU70K', 70000, 210000, 'Giảm giá 70k, ăn thỏa ga', '9/7/2022'
'SIEU70K', 70000, 210000, 'Giảm giá 70k, ăn thỏa ga', '9/8/2022'
'SIEU70K', 70000, 210000, 'Giảm giá 70k, ăn thỏa ga', '16/8/2022'
'SIEU100K', 100000, 300000, 'Giảm giá 100k, ăn thỏa ga', '19/8/2022'
'SIEU100K', 100000, 300000, 'Giảm giá 100k, ăn thỏa ga', '7/8/2022'
'SIEU100K', 100000, 300000, 'Giảm giá 100k, ăn thỏa ga', '13/8/2022'
'SIEU200K', 200000, 600000, 'Giảm giá 200k, ăn thỏa ga', '14/11/2022'
'SIEU200K', 200000, 600000, 'Giảm giá 200k, ăn thỏa ga', '13/8/2022'
'SIEU200K', 200000, 600000, 'Giảm giá 200k, ăn thỏa ga', '7/1/2022'
